set	gene
Progenitor_maintenance	ZIC2
Progenitor_maintenance	ZIC3
Progenitor_maintenance	ZIC4
Progenitor_maintenance	ZIC5
Progenitor_maintenance	FGF2
Progenitor_maintenance	FGFR1
Progenitor_maintenance	FGFR2
Progenitor_maintenance	FGFR3
Progenitor_maintenance	EGFR
Progenitor_maintenance	ERBB2
Progenitor_maintenance	ERBB3
Progenitor_maintenance	ERBB4
Progenitor_maintenance	PDGFRA
Progenitor_maintenance	PDGFRB
Progenitor_maintenance	CXCL12
Progenitor_maintenance	CXCR4
Progenitor_maintenance	PTPRZ1
Progenitor_maintenance	TTYH1
Progenitor_maintenance	AQP4
Progenitor_maintenance	S100B
Progenitor_maintenance	MKI67
Progenitor_maintenance	PCNA
Progenitor_maintenance	TOP2A
Progenitor_maintenance	MCM2
Progenitor_maintenance	MCM3
Progenitor_maintenance	MCM4
Progenitor_maintenance	MCM5
Progenitor_maintenance	MCM6
Progenitor_maintenance	MCM7
Progenitor_maintenance	CDK1
Progenitor_maintenance	CDK2
Progenitor_maintenance	CCND1
Progenitor_maintenance	CCND2
Progenitor_maintenance	CCNE1
Progenitor_maintenance	CCNE2
Progenitor_maintenance	E2F1
Progenitor_maintenance	E2F2
Progenitor_maintenance	E2F3
Progenitor_maintenance	BIRC5
Progenitor_maintenance	AURKA
Progenitor_maintenance	AURKB
Progenitor_maintenance	UBE2C
Progenitor_maintenance	CENPF
Progenitor_maintenance	CENPE
Progenitor_maintenance	ASPM
Progenitor_maintenance	KIF2C
Progenitor_maintenance	KIF11
Progenitor_maintenance	KIF20A
Progenitor_maintenance	TPX2
Progenitor_maintenance	NESTIN
