source,interaction,target
TEC,1,PLCG2
ATM,-1,SIAH1
ITK,1,PLCG2
BTK,1,PLCG1
ITK,1,PLCG1
TEC,1,STAP1
CDK4,-1,RB1
CDK2,-1,RB1
SIAH1,-1,HIPK2
HIPK2,-1,CTBP1
CASP6,1,HIPK2
MAPK8,-1,CTBP1
ABL1,1,YAP1
CSNK2B,-1,CHEK2
BCL2,-1,TP53AIP1
TP53AIP1,1,CYCS
TP53,1,TP53AIP1
TP53,-1,CDC20
E2F3,1,MIR17HG
E2F1,1,FGFR1
AURKB,1,RB1
E2F1,1,RELA
E2F6,-1,E2F1
E2F1,-1,HSPA5
PLK1,-1,BORA
BUB1,1,PLK1
AURKA,1,PLK1
PLK1,1,BUB1B
PTPN2,-1,STAT3
PTPN2,-1,STAT1
PTPN2,-1,KDR
NANOS1,1,HDAC2
NOS1,1,HDAC2
MAPK8,1,STAT5A
ABL1,1,PRKCD
PRKCD,-1,PRKDC
TXN,1,SP1
TXN,1,NR3C1
DUSP1,-1,MAPK14
MAPK14,1,FOS
MAPK14,-1,EGFR
MAPK14,-1,CDC25A
MAPK9,-1,CDC25B
MAPK8,-1,CDC25B
MAPK14,-1,CDC25B
